Name,Knockdowns,Strikes,Takedowns,Submission Attempts,Weight Class,Win Method,Event Name,Event Location,Event Date
"Sean Strickland","1","81","0","0","Middleweight","KO/TKOPunches","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
"Abus Magomedov","0","47","1","0","Middleweight","Lost","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
"Grant Dawson","0","30","3","1","Lightweight","U-DEC","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
"Damir Ismagulov","0","13","0","0","Lightweight","Lost","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
"Michael Morales","0","72","1","0","Welterweight","U-DEC","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
"Max Griffin","0","36","0","0","Welterweight","Lost","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
"Ariane Lipski","0","66","1","0","Women'sFlyweight","S-DEC","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
"Melissa Gatto","0","85","0","0","Women'sFlyweight","Lost","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
"Benoit Saint","0","13","2","2","Lightweight","SUBRearNakedChoke","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
"Ismael Bonfim","0","14","0","0","Lightweight","Lost","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
"Nursulton Ruziboev","0","6","1","0","Middleweight","KO/TKOPunches","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
"Brunno Ferreira","0","3","0","0","Middleweight","Lost","UFC Fight Night: Strickland vs. Magomedov","Las Vegas, Nevada, USA","July 01, 2023"
